SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Urban Planning and Public Infrastructure,Golden Given Road East and 104th Street East intersection to change to all-way stop in early November,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",01-11-2019,00:00:00
Urban Planning and Public Infrastructure,Golden Given Road East and 104th Street East intersection to change to all-way stop in early November,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",01-11-2019,16:41:00
Academic Affairs and Staff Development,New employee required training infographic,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,01-11-2019,17:32:00
Academic Affairs and Staff Development,Update Leadership Pyramid image,dwetherheadb@livejournal.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Proofreading and Quality Assurance,01-11-2019,17:34:00
Governance and Policy Studies,Army vs. Navy flyer for directors,dwetherheadb@livejournal.com,"Internal and External Communication, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,04-11-2019,00:00:00
Governance and Policy Studies,Army vs. Navy flyer for directors,dwetherheadb@livejournal.com,"Internal and External Communication, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,05-11-2019,00:39:00
Governance and Policy Studies,Army vs. Navy message to employees,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming, Writing and Editing",05-11-2019,01:14:00
Academic Affairs and Staff Development,November mobile blood drives,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",07-11-2019,00:00:00
Technical Communication and Media,UW Husky Men's Basketball discount,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming",07-11-2019,00:00:00
Academic Affairs and Staff Development,Volunteer Recognition call for nominations #1,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Writing and Editing, Website Programming",07-11-2019,00:00:00
Technical Communication and Media,UW Husky Men's Basketball discount,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming",07-11-2019,17:19:00
Academic Affairs and Staff Development,November mobile blood drives,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",07-11-2019,23:07:00
Financial Analysis and Management,WA Teamsters & PEBB header and template,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,08-11-2019,00:00:00
Academic Affairs and Staff Development,Military service reporting/update Workday employee record (message #2),dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing",08-11-2019,00:00:00
Academic Affairs and Staff Development,Military service reporting/update Workday employee record (message #2),dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing",08-11-2019,21:20:00
Financial Analysis and Management,WA Teamsters & PEBB header and template,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,08-11-2019,22:40:00
Environmental and Civil Engineering,Fantasy Lights Walk,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, Website Programming",14-11-2019,00:00:00
Environmental and Civil Engineering,Fantasy Lights Walk,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, Website Programming",14-11-2019,20:18:00
Facilities and Maintenance Engineering,Construction work to occur through the weekend in the CCB,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing",15-11-2019,00:00:00
Facilities and Maintenance Engineering,Construction work to occur through the weekend in the CCB,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing",15-11-2019,22:17:00
Financial Analysis and Management,IAM Local 297 11/15 update,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",18-11-2019,00:00:00
Partnerships and External Collaboration,Flag lowering,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Proofreading and Quality Assurance,18-11-2019,00:00:00
Environmental and Civil Engineering,Volunteer Recognition Brunch nomination reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",18-11-2019,00:00:00
Industrial and Systems Engineering,Retirement of Sheree Clark,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",18-11-2019,20:23:00
Environmental and Civil Engineering,Volunteer Recognition Brunch nomination reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",18-11-2019,21:28:00
Industrial and Systems Engineering,Retirement of Sheree Clark,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",19-11-2019,00:00:00
Partnerships and External Collaboration,Flag lowering,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,Proofreading and Quality Assurance,19-11-2019,01:38:00
Engineering Leadership and Strategy,Annual tree lighting invite,dwetherheadb@livejournal.com,"Internal and External Communication, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,"Graphic Design, Website Programming, News and Media Communication",20-11-2019,22:01:00
Quality Assurance and Risk Management,News release template in Word,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,Graphic Design,21-11-2019,00:00:00
Youth Outreach and Training,Pierce County to celebrate 10 newly expanded families on Adoption Day,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, Website Programming, News and Media Communication",21-11-2019,00:00:00
Youth Outreach and Training,Pierce County to celebrate 10 newly expanded families on Adoption Day,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, Website Programming, News and Media Communication",21-11-2019,18:34:00
Academic Affairs and Staff Development,End-of-year vacation carry forward reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",21-11-2019,23:16:00
Quality Assurance and Risk Management,News release template in Word,dwetherheadb@livejournal.com,Technical Writing,Samira Alaoui,Graphic Design,21-11-2019,23:18:00
Academic Affairs and Staff Development,End-of-year vacation carry forward reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",22-11-2019,00:00:00
Engineering Leadership and Strategy,Annual tree lighting invite,dwetherheadb@livejournal.com,"Internal and External Communication, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,"Graphic Design, Website Programming, News and Media Communication",25-11-2019,00:00:00
Partnerships and External Collaboration,Discount tickets to Sesame Street Live! Make your magic,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Website Programming",26-11-2019,00:00:00
Financial Analysis and Management,Payroll End of Year Reminders,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Writing and Editing,26-11-2019,00:34:00
Partnerships and External Collaboration,Discount tickets to Sesame Street Live! Make your magic,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Website Programming",26-11-2019,19:30:00
Financial Analysis and Management,IAM Local 297 12/18 update,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",27-11-2019,00:00:00
Financial Analysis and Management,IAM Local 297 11/18 update,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",27-11-2019,00:00:00
Environmental and Civil Engineering,25th annual Fantasy Lights drive-thru experience opens Nov. 28,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, Website Programming, News and Media Communication",27-11-2019,00:00:00
Technical Communication and Media,Media Advisory: Auditor schedules mandatory machine recounts,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,27-11-2019,00:00:00
Technical Communication and Media,Media Advisory: Auditor schedules mandatory machine recounts,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,27-11-2019,17:03:00
Environmental and Civil Engineering,25th annual Fantasy Lights drive-thru experience opens Nov. 28,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Writing and Editing, Website Programming, News and Media Communication",27-11-2019,23:36:00
Financial Analysis and Management,IAM Local 297 11/15 update,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",28-11-2019,00:39:00
Financial Analysis and Management,IAM Local 297 11/18 update,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",28-11-2019,00:42:00
Financial Analysis and Management,IAM Local 297,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance",02-12-2019,00:00:00
Engineering Leadership and Strategy,Sheree Clark executive proclamation,dwetherheadb@livejournal.com,Executive-Level Documentation,Samira Alaoui,Proofreading and Quality Assurance,03-12-2019,00:00:00
Engineering Leadership and Strategy,Tree lighting reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Internal and External Communication,03-12-2019,00:00:00
Engineering Leadership and Strategy,Tree lighting reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Internal and External Communication,03-12-2019,17:13:00
Engineering Leadership and Strategy,Sheree Clark executive proclamation,dwetherheadb@livejournal.com,Executive-Level Documentation,Samira Alaoui,Proofreading and Quality Assurance,03-12-2019,22:42:00
Financial Analysis and Management,You can now add the 2020 holidays to your Outlook Calendar,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication",04-12-2019,00:00:00
Partnerships and External Collaboration,Flag lowering in honor of Pearl Harbor Remembrance Day,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",04-12-2019,00:00:00
Financial Analysis and Management,Payroll End of Year Reminders,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Writing and Editing,04-12-2019,00:00:00
Partnerships and External Collaboration,Flag lowering in honor of Pearl Harbor Remembrance Day,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",04-12-2019,21:11:00
Financial Analysis and Management,You can now add the 2020 holidays to your Outlook Calendar,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication",04-12-2019,22:11:00
Legal and Compliance Engineering,Superior Court invites you to Philip E. Thornton's swearing-in ceremony,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Internal and External Communication",05-12-2019,00:00:00
Environmental and Civil Engineering,Pierce County Parks and local hotels offer holiday staycation package,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming, Writing and Editing",05-12-2019,00:00:00
Governance and Policy Studies,Army vs. Navy message to employees,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming, Writing and Editing",05-12-2019,00:00:00
Environmental and Civil Engineering,Pierce County Parks and local hotels offer holiday staycation package,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming, Writing and Editing",05-12-2019,17:09:00
Legal and Compliance Engineering,Superior Court invites you to Philip E. Thornton's swearing-in ceremony,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Internal and External Communication",05-12-2019,22:10:00
Environmental and Civil Engineering,Reminder to nominate a volunteer for recognition by Dec. 16,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication",06-12-2019,00:00:00
Environmental and Civil Engineering,Reminder to nominate a volunteer for recognition by Dec. 16,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication",06-12-2019,23:16:00
Urban Planning and Public Infrastructure,Susan Stowe's retirement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance",09-12-2019,00:00:00
Urban Planning and Public Infrastructure,Susan Stowe's retirement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance",09-12-2019,17:58:00
Urban Planning and Public Infrastructure,Wheel Options email,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance",09-12-2019,18:58:00
Financial Analysis and Management,PEBB Updates image banner,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Graphic Design",10-12-2019,00:00:00
Urban Planning and Public Infrastructure,Milestone Rewards email,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",11-12-2019,16:50:00
Financial Analysis and Management,PEBB Updates image banner,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Graphic Design",11-12-2019,20:12:00
Financial Analysis and Management,IAM Local 297 12/4 & 12/9 updates,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",12-12-2019,00:00:00
Urban Planning and Public Infrastructure,Wheel Options email,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance",12-12-2019,00:00:00
Financial Analysis and Management,IAM Local 297 12/4 & 12/9 updates,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",12-12-2019,20:27:00
Financial Analysis and Management,IAM Local 297 12/18 update,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",12-12-2019,20:29:00
Financial Analysis and Management,IAM Local 297,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance",12-12-2019,20:31:00
Academic Affairs and Staff Development,2020 Employee required training webpage,dwetherheadb@livejournal.com,"Internal and External Communication, Website Programming",Samira Alaoui,"Graphic Design, Website Programming, Internal and External Communication",13-12-2019,00:00:00
Academic Affairs and Staff Development,Employee required training webpage,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Samira Alaoui,"Website Programming, Graphic Design, Internal and External Communication",13-12-2019,00:00:00
Academic Affairs and Staff Development,Employee required training webpage,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Samira Alaoui,"Website Programming, Graphic Design, Internal and External Communication",13-12-2019,22:04:00
Quality Assurance and Risk Management,Media advisory: Auditor seeks to appoint committee members for voters� pamphlet,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",16-12-2019,00:00:00
Urban Planning and Public Infrastructure,Milestone Rewards email,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",16-12-2019,00:00:00
Quality Assurance and Risk Management,Media advisory: Auditor seeks to appoint committee members for voters’ pamphlet,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",16-12-2019,20:30:00
Engineering Leadership and Strategy,Army vs Navy results,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",17-12-2019,00:00:00
Engineering Leadership and Strategy,Army vs Navy results,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming",17-12-2019,23:39:00
Financial Analysis and Management,IAM Local #297 Dec. 17 meeting update,dwetherheadb@livejournal.com,"Internal and External Communication, Website Programming",Samira Alaoui,Website Programming,18-12-2019,00:00:00
Urban Planning and Public Infrastructure,Planning Commission adds meetings on community plan updates,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",18-12-2019,00:00:00
Urban Planning and Public Infrastructure,Planning Commission adds meetings on community plan updates,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",18-12-2019,00:27:00
Financial Analysis and Management,IAM Local #297 Dec. 17 meeting update,dwetherheadb@livejournal.com,"Internal and External Communication, Website Programming",Samira Alaoui,Website Programming,18-12-2019,21:05:00
Academic Affairs and Staff Development,Performance Management spotlight on intranet,dwetherheadb@livejournal.com,"Internal and External Communication, Website Programming",Samira Alaoui,"Internal and External Communication, Website Programming",19-12-2019,00:00:00
Legal and Compliance Engineering,Judge Hickman retirement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",20-12-2019,00:00:00
Academic Affairs and Staff Development,2020 Employee required training webpage,dwetherheadb@livejournal.com,"Internal and External Communication, Website Programming",Samira Alaoui,"Graphic Design, Website Programming, Internal and External Communication",20-12-2019,02:18:00
Academic Affairs and Staff Development,Performance Management spotlight on intranet,dwetherheadb@livejournal.com,"Internal and External Communication, Website Programming",Samira Alaoui,"Internal and External Communication, Website Programming",20-12-2019,02:20:00
Safety Engineering and Crisis Management,Retirement of Peggy LovellFord,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance",24-12-2019,02:04:00
Legal and Compliance Engineering,Judge Hickman retirement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",24-12-2019,02:10:00
Safety Engineering and Crisis Management,Retirement of Peggy LovellFord,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance",27-12-2019,00:00:00
Urban Planning and Public Infrastructure,Pierce Trips News,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",08-01-2020,16:30:00
Academic Affairs and Staff Development,Debbie Young's retirement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",09-01-2020,19:46:00
Technical Communication and Media,Inclement weather policy,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Internal and External Communication",10-01-2020,00:00:00
Academic Affairs and Staff Development,Employee performance management available,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Internal and External Communication",10-01-2020,00:00:00
Academic Affairs and Staff Development,Debbie Young's retirement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",10-01-2020,00:00:00
Urban Planning and Public Infrastructure,Pierce Trips News,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",10-01-2020,00:00:00
Academic Affairs and Staff Development,Employee performance management available,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Internal and External Communication",10-01-2020,00:27:00
Technical Communication and Media,Inclement weather policy,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Internal and External Communication",10-01-2020,00:28:00
Urban Planning and Public Infrastructure,Decommissioned vehicles and heavy equipment to be auctioned,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Internal and External Communication,14-01-2020,00:00:00
Urban Planning and Public Infrastructure,Decommissioned vehicles and heavy equipment to be auctioned,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Internal and External Communication,14-01-2020,17:21:00
Safety Engineering and Crisis Management,Exec Proclamation: Grant “Smitty” Smith,dwetherheadb@livejournal.com,Executive-Level Documentation,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",14-01-2020,23:46:00
Safety Engineering and Crisis Management,Exec Proclamation: Grant �Smitty� Smith,dwetherheadb@livejournal.com,Executive-Level Documentation,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",15-01-2020,00:00:00
Environmental and Civil Engineering,Letter to VRB winners,dwetherheadb@livejournal.com,"Technical Writing, Event Management and Logistics",Samira Alaoui,"Event Coordination, Writing and Editing",15-01-2020,22:10:00
Environmental and Civil Engineering,Letter to VRB nominators,dwetherheadb@livejournal.com,"Technical Writing, Event Management and Logistics",Samira Alaoui,"Writing and Editing, Event Coordination",15-01-2020,22:11:00
Environmental and Civil Engineering,93 Volunteer Recognition Brunch certificates,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,"Graphic Design, Technical Documentation",15-01-2020,22:12:00
Environmental and Civil Engineering,ISI West Coast Championships,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",16-01-2020,00:00:00
Facilities and Maintenance Engineering,Nollmeyer Lane vehicle gate maintenance,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication, Graphic Design",16-01-2020,00:00:00
Facilities and Maintenance Engineering,Nollmeyer Lane vehicle gate maintenance,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication, Graphic Design",16-01-2020,00:07:00
Environmental and Civil Engineering,ISI West Coast Championships,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",16-01-2020,17:50:00
Documentation and Knowledge Management,Martin Luther King Jr. holiday closure,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,Website Programming,17-01-2020,00:00:00
Academic Affairs and Staff Development,Instructor Cadre Recruitment Announcement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Graphic Design, Proofreading and Quality Assurance",17-01-2020,18:22:00
Documentation and Knowledge Management,Martin Luther King Jr. holiday closure,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,Website Programming,18-01-2020,01:16:00
Quality Assurance and Risk Management,Media Advisory: Election at a glance,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,21-01-2020,00:00:00
Financial Analysis and Management,W-2 Documents,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",21-01-2020,00:00:00
Financial Analysis and Management,W-2 Documents,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",21-01-2020,16:07:00
Quality Assurance and Risk Management,Media Advisory: Election at a glance,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,21-01-2020,18:49:00
Financial Analysis and Management,First Aid/CPR classes,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Website Programming",22-01-2020,00:00:00
Financial Analysis and Management,First Aid/CPR classes,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication, Website Programming",22-01-2020,00:00:00
Environmental and Civil Engineering,Letter to VRB nominators,dwetherheadb@livejournal.com,"Technical Writing, Event Management and Logistics",Samira Alaoui,"Writing and Editing, Event Coordination",22-01-2020,00:00:00
Environmental and Civil Engineering,Letter to VRB winners,dwetherheadb@livejournal.com,"Technical Writing, Event Management and Logistics",Samira Alaoui,"Event Coordination, Writing and Editing",22-01-2020,00:00:00
Financial Analysis and Management,First Aid/CPR classes,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Internal and External Communication, Website Programming",22-01-2020,18:29:00
Financial Analysis and Management,First Aid/CPR classes,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Website Programming",22-01-2020,19:19:00
Environmental and Civil Engineering,Public invited to help design Parkland Community Trail,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming",24-01-2020,00:00:00
Academic Affairs and Staff Development,Instructor Cadre Recruitment Announcement,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Graphic Design, Proofreading and Quality Assurance",24-01-2020,00:00:00
Environmental and Civil Engineering,Public invited to help design Parkland Community Trail,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming",24-01-2020,17:30:00
Financial Analysis and Management,School funding increases Pierce County property taxes,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication, Website Programming",29-01-2020,00:00:00
Environmental and Civil Engineering,Public invited to help design Pipeline Trail,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming",29-01-2020,01:44:00
Financial Analysis and Management,School funding increases Pierce County property taxes,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication, Website Programming",29-01-2020,18:51:00
Environmental and Civil Engineering,Retirement of Ross Vernieuwe,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",30-01-2020,00:00:00
Environmental and Civil Engineering,Public invited to help design Pipeline Trail,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming",30-01-2020,00:00:00
Environmental and Civil Engineering,Retirement of Ross Vernieuwe,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Internal and External Communication, Proofreading and Quality Assurance, Website Programming",30-01-2020,19:16:00
Environmental and Civil Engineering,93 Volunteer Recognition Brunch certificates,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,"Graphic Design, Technical Documentation",31-01-2020,00:00:00
Urban Planning and Public Infrastructure,Love to Ride Intro,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Internal and External Communication",03-02-2020,00:00:00
Urban Planning and Public Infrastructure,Love to Ride Intro,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Internal and External Communication",03-02-2020,19:17:00
Urban Planning and Public Infrastructure,Love to Ride campaign reminder,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, Internal and External Communication",03-02-2020,19:32:00
Academic Affairs and Staff Development,Pierce County Job Fair flyer,dwetherheadb@livejournal.com,"Event Management and Logistics, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,"Graphic Design, Technical Documentation",05-02-2020,01:21:00
Academic Affairs and Staff Development,Pierce County job fair news release,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Writing and Editing, Website Programming",05-02-2020,19:30:00
Academic Affairs and Staff Development,Career Event/Job Fair web landing page,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Event Coordination, Public Outreach and Engagement",11-02-2020,00:00:00
Academic Affairs and Staff Development,Job Fair/Career Event web landing page,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,"Website Programming, Event Coordination, Public Outreach and Engagement",11-02-2020,07:04:00
Academic Affairs and Staff Development,Pierce County job fair news release,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Writing and Editing, Website Programming",12-02-2020,00:00:00
